id,context,question,answer
1470,"The Committee discussed the fact that, during the year to July 2017, the Directors became aware that a dividend paid in November 2015 totalling £32.4m had been made otherwise than in accordance with the Companies Act 2006, because interim accounts had not been filed at Companies House prior to payment.","What caused the dividend paid in November 2015, totaling £32.4 million, to be made otherwise than in accordance with the Companies Act 2006?",interim accounts had not been filed at Companies House prior to payment
829,"The year 2018 has been the second financial year of growth in the global seamless pipes business, leaving behind one of the largest crises derived from the plummet in oil prices that occurred in 2015 and 2016. The revival of the global investment in the oil and gas sector since 2017, after annual drops of 25 percent for two consecutive years, led to an increase of 6 percent in 2017 and 5 percent in 2018. The growth mainly occurred in the United States, where the number of active drilling rigs grew by 18 percent in 2018, following the increase of 72 percent that occurred in 2017, shored up by the progress in technology for exploiting the shale fields, leaving behind the 47 percent drops that occurred in 2015 and 2016.",What was the origin of the 6 percent increase in 2017 and 5 percent increase in 2018 regarding the growth in the global seamless pipes business?,"The revival of the global investment in the oil and gas sector since 2017, after annual drops of 25 percent for two consecutive years"
1138,"As noted in our Remuneration Policy, 2018 LTIP awards will be made under the new LTIP Rules approved at our 2017 AGM and will therefore be subject to a four-year vesting period plus a one-year post-vesting holding period.",What is the reason for the 2018 LTIP being subject to a four-year vesting period plus a one-year post-vesting holding period?,2018 LTIP awards will be made under the new LTIP Rules approved at our 2017 AGM
1822,Goodwill The goodwill on the Group's balance sheet at 31 December 2017 decreased to £874 million (2016: £937 million). The decrease was due to currency translation differences of £46 million and the disposal of goodwill relating to Heery International Inc of £17 million.,What factors contributed to the decrease in goodwill on the Group's balance sheet to £874 million as of 31 December 2017?,currency translation differences of £46 million and the disposal of goodwill relating to Heery International Inc of £17 million
1233,"The lower cash outflow in tax, dividends, etc. was due to lower investment in Cohort's own shares by the EBT on a net inflow of £0.5m (2016: outflow of £3.2m). Looking forward, we retain the flexibility to use newly issued shares as well as EBT shares.","What caused the lower cash outflow in tax, dividends, etc.?",lower investment in Cohort's own shares by the EBT on a net inflow of £0.5m (2016: outflow of £3.2m)
1167,We also announced the departure of both Colin Smith and David Smith from the Board in 2017. In both cases outstanding PSP awards were pro-rated and will vest at the normal time against achievement of the relevant performance conditions. The 2015 PSP awards have lapsed as the targets were not met. Neither Colin nor David participated in any incentive plans in 2017. David Smith's contractual payments were mitigated due to his external appointment to QinetiQ.,What is the reason the 2015 PSP awards did not lapse?,the targets were not met
691,"As at 30 April 2017, the Bespak's IAS 19 deficit was £40.6m compared with £23.4m as at 30 April 2016. The significant increase in the deficit was primarily due to a marked reduction in the discount rates.",What was the primary reason for the increase in Bespak's IAS 19 deficit from £23.4m in 2016 to £40.6m in 2017?,a marked reduction in the discount rates
1440,"Recognising that women are under-represented in our workforce (see Diversity below), we implement rules for the compensation of non-unionised employees based on gender-independent salary ranges. Currently, any differences in the compensation of men and women are primarily due to different seniorities.",What is the consequence of recognizing that women are under-represented in the workforce?,we implement rules for the compensation of non-unionised employees based on gender-independent salary ranges
923,The Committee undertook a review of the Committee's Terms of Reference and the Company's non-audit services policy in light of the change in the nature of the Committee's responsibilities and also of the new ethical standards.,What prompted the Committee to review its Terms of Reference and the Company's non-audit services policy?,the change in the nature of the Committee's responsibilities
1821,The Group had a reduced finance credit of £1.1m (2016: £2.4m) arising from the unwinding of the discount on its available for sale financial assets during 2017 as the portfolio was sold during the year. There were also other expenses of £0.2m (2016: income of £0.3m).,"What motivated the Group's £1.1m reduction in finance credit, compared to 2016's £2.4m?",the unwinding of the discount on its available for sale financial assets during 2017
912,"Arix has three very senior industry figures performing active day-to-day roles. Therefore, the loss of a single member of the executive team would be mitigated by the stature and experience of others within the organisation.",What is the consequence of Arix having three very senior industry figures actively involved in day-to-day roles?,the loss of a single member of the executive team would be mitigated by the stature and experience of others within the organisation
1802,Professional fees tax effected based on the applicable rate in the UK in the period in which incurred. Share-based compensation is not deductible for tax purposes and therefore not tax-affected.,Why shared-based compensation is not tax-affected?,Share-based compensation is not deductible for tax purposes
919,"Our strategic approach is based on long-term trends. We track consumer and occupier expectations, as well as key themes impacting our business, to ensure we address these in creating Places People Prefer. As the worlds of work and leisure become increasingly connected, this has led to our assets becoming more comprehensive and flexible.",What drove their assets to become more comprehensive and flexible?,the worlds of work and leisure become increasingly connected
213,"After taking account of these factors, underlying revenue increased in our business channel. Wholesale revenues have declined slightly during the year as a result of lower voice revenues and, as anticipated, our non-core contact centre and publishing revenues have continued to decline.",What were the consequences of taking account of these factors?,underlying revenue increased in our business channel
78,Our key remuneration outcomes. We are now three years on from the IPO and the Committee has undertaken a full review of Executive Director remuneration in light of the progress made by the Group and the strategic objectives the Board has for the Group over the next three years.,What are the implications of the Group's progress and the strategic objectives set by the Board for the next three years?,We are now three years on from the IPO and the Committee has undertaken a full review of Executive Director remuneration
244,"Our clinical platform and disease in motion-based discovery research in flu has enabled us to identify the signalling pathways that we believe are active in severe flu and create a process for identifying what could be the true levers of this disease. Our pioneering work in identifying a drug target for the treatment of severe flu (HVO-001) led to a patent application in 2017, and, if possible, we plan to leverage non-dilutive funding to advance this invention through government grants and collaborations.",What did the patent application in 2017 result from?,Our pioneering work in identifying a drug target for the treatment of severe flu (HVO-001)
1182,"The Group has sufficient financial resources which, together with internally generated cash flows, will continue to provide sufficient sources of liquidity to fund its current operations, including its contractual and commercial commitments and any proposed dividends. The Group is therefore well placed to manage its business risks.",Why is the Group well placed to manage its business risks?,"The Group has sufficient financial resources which, together with internally generated cash flows, will continue to provide sufficient sources of liquidity to fund its current operations, including its contractual and commercial commitments and any proposed dividends"
332,"The impacts of these risks may be felt in fines and inspections relating to breaches of environmental laws, irrevocable damage to the ecosystem and the effect on the milieu (population, etc.) as well as the additional cost to the CAF Group’s operations of the adverse effects of climate change. These impacts directly affect the short term; however, the last two impacts can also have medium-term effects since the environmental impacts are sustained over time. In this regard, it must be stated that no provisions have been recognised or guarantees given for environmental risks, since the Group does not have any litigation in progress or contingencies relating to environmental protection and improvement or environmental pollution events.",What effect does the Group not having any litigation in progress or contingencies relating to environmental protection and improvement or environmental pollution events entail?,no provisions have been recognised or guarantees given for environmental risks
1929,"Board support Board meetings are scheduled at least two years in advance and ad hoc meetings are arranged when required according to the needs of the business. The Board also has a programme which sets out the standing items for every meeting, key periodic activities such as approval of results, AGM documentation, business plans and assessment of evaluation results, as well as matters for more detailed focus owing to their significance to the Company. Comprehensive briefing papers are circulated to all Directors more than one week before each meeting.",What factor contributes to more-specialized matters being set out by the Board every meeting?,their significance to the Company
846,"A share-based payments charge of £4.5m (2016: £2.5m) was recognised during the year, including national insurance costs ('NI') on potential employee gains where applicable. The year-on-year increase in the charge was primarily due to further awards made in June 2016 under the Performance Share Plan and the Deferred Annual Bonus",What led to the year-on-year increase in the charge?,further awards made in June 2016 under the Performance Share Plan and the Deferred Annual Bonus
1379,Any new Non-Executive Director appointed to the Board would be paid no more than the Remuneration Committee considers reasonably necessary in light of market practice among other FTSE All Shares Index companies and the current remuneration of other Non-Executive Directors. His or her remuneration package would comprise the same components.,What do the market practices among other FTSE All-Share Index companies and the current remuneration of other Non-Executive Directors lead to?,Any new Non-Executive Director appointed to the Board would be paid no more than the Remuneration Committee considers reasonably necessary
409,"As noted in the Strategic Report, all of the Directors are non-executive and therefore there is no Chief Executive Officer (""CEO""). The Company does not have any employees. There is therefore no CEO or employee information to disclose.",Why is there no Chief Executive Officer?,"As noted in the Strategic Report, all of the Directors are non-executive"
1240,"As a consequence of the continuing improved trading performance and our confidence in the future, we propose an increase in dividends, subject to shareholder approval at the forthcoming annual general meeting to be held at the offices of Instinctif Partners, 65 Gresham Street, London EC2V 7NQ at 12 noon on Wednesday 21 March 2018.",What is the result of the continuing improved trading performance and their confidence in the future?,we propose an increase in dividends
1718,"Corporate social responsibility at Auto Trader is driven by our values and culture and is focused on making a difference to our employees, our community and our industry. This, along with our diversity and inclusion strategy, is embedded into how we operate on a daily basis. As an employer, it comprises employee engagement, rewards and recognition schemes, people development, health and safety, the environmental impact, sustainability and energy efficient operations.",What accounts for Corporate social responsibility at Auto Trader?,our values and culture
313,"Our PGM investment, a 6% stake in Sedibelo, had its ninth year of production. Due to the continued challenging price environment, the company remains focussed on minimising production costs and on cash preservation. Whilst other pro- ducers have raised equity to survive, Sedibelo has not been back to its shareholders",What did the continued challenging price environment entail?,the company remains focussed on minimising production costs and on cash preservation
1178,"Sir David Howard, because of his previous role as Chief Executive and his shareholding in the Company, is not considered to be independent.",What explains the fact that Sir David Howard is not considered to be independent?,his previous role as Chief Executive and his shareholding in the Company
1136,"As a result of the flood, Standfast has experienced a period of significantly disrupted production and loss of stock, machinery and profits. To date we have received £16.9 million in insurance receipts, covering costs plus business interruption losses and interim cash flow requirements, with further business interruption reimbursements expected.",What effect did the flood have on the Company?,"Standfast has experienced a period of significantly disrupted production and loss of stock, machinery and profits"
188,"• Good evolution of risk/country: since 2017, the risk premium has decreased in a significant and sustained manner, reflecting the greater confidence of international investors following the deficit adjustment in recent years and Portugal's brighter economic outlook.",What was the impact of the increased confidence of international investors after the recent deficit adjustment and of Portugal's positive economic outlook?,the risk premium has decreased in a significant and sustained manner
1424,"The board's intention continues to be to maintain or increase its normal dividend in future years. The board believes the anticipated increase in yield from its young plantations and the acquisition of Bumi Mas provide a basis for sustained future crop growth and, hence, enhanced dividends.",What are the reasons the board believes that dividends will increase?,the anticipated increase in yield from its young plantations and the acquisition of Bumi Mas provide a basis for sustained future crop growth
925,The Group had a reduced finance credit of £1.1m (2016: £2.4m) arising from the unwinding of the discount on its available for sale financial assets during 2017 as the portfolio was sold during the year. There were also other expenses of £0.2m (2016: income of £0.3m).,What caused the unwinding of the discount on its available-for-sale financial assets during 2017?,the portfolio was sold during the year
1072,"Externally, the distribution market is experiencing opportunity and challenge as a result of changes on many fronts. These include changing consumer expectations, the growth of click & collect and home delivery alternatives, the need for more flexible and speedy solutions, a trend of SMEs supplying direct to consumers, etc.",What factors explain the opportunities and challenges experienced by distribution makers?,"changes on many fronts. These include changing consumer expectations, the growth of click & collect and home delivery alternatives, the need for more flexible and speedy solutions, a trend of SMEs supplying direct to consumers, etc."
15,"In addition, our ability to successfully scale-up production processes to clinical trial or commercial levels is vital to the commercial viability of any product. Availability of raw materials is extremely important to ensure that products are manufactured on schedule and, therefore, dual sourcing is used where possible.",Why is dual sourcing used where possible?,Availability of raw materials is extremely important to ensure that products are manufactured on schedule
724,Papworth Hospital has extended the timeframe to September 2018 and therefore preparation for the transfer of the extensive archive of medical images is ongoing.,What does Papworth Hospital extending the timeframe to September 2018 imply?,preparation for the transfer of the extensive archive of medical images is ongoing
362,"RIA is the opening AUM/NUM of lost institutional clients, divided by total opening AUM/NUM. It excludes pension clients which have entered the Pension Protection Fund due to sponsor default or pensions who have moved to buy-in or buy-out, and redemptions arising fund benefit payments.",What causes the exclusion of pension clients which have entered the Pension Protection Fund?,"sponsor default or pensions who have moved to buy-in or buy-out, and redemptions arising fund benefit payments"
1907,"Colin Jones is on different arrangements as described elsewhere in this report and the details for the incoming CFO have not been agreed at this time, therefore the only chart shown below is for Andrew Rashbass, the CEO.","What is the reason for the only chart shown below being for Andrew Rashbass, the CEO?",Colin Jones is on different arrangements as described elsewhere in this report and the details for the incoming CFO have not been agreed at this time
1938,"Patagonia Gold retains its investment focus on Argentina and, for this reason, it continues to review opportunities to enhance its participation in the local mining business. Improved market sentiment coupled with the change in government in Argentina pose an excellent opportunity for Patagonia Gold to grow its business",Why does Patagonia Gold continue to review opportunities to enhance its participation in the local mining business?,Patagonia Gold retains its investment focus on Argentina
825,"• The production average increased by 3% compared to 2017, reaching 715 kboe/d in 2018. This increase is mainly due to ramp-up of production in Libya, the implementation of organic development projects TROC and Juniper (Trinidad and Tobago), Reggane (Algeria) the acquisition of the Visund field (Norway), Shaw and Cayley (United Kingdom), and the production of new wells in Marcellus (USA). This was offset by the effect of lower production in Venezuela and divestitures in the SK field (Russia).",What were the key drivers for production average increasing by 3% compared to 2017 and reaching 715 kboe/d in 2018?,"ramp-up of production in Libya, the implementation of organic development projects TROC and Juniper (Trinidad and Tobago), Reggane (Algeria) the acquisition of the Visund field (Norway), Shaw and Cayley (United Kingdom), and the production of new wells in Marcellus (USA)"
1715,"Twelve months later and the sector has rebounded strongly. Thanks to our efforts in 2016, Nostra Terra was well positioned to benefit greatly from this. The Company has since taken significant steps forward in realising its ambitions, delivering robust returns for shareholders.",What was the reason for Nostra Terra's strong position to greatly benefit from the sector rebound?,our efforts in 2016
245,"The Bank is also subject to prepayment risk, which is the risk that the Bank will incur a financial loss because its customers and counterparties repay or request repayment earlier than expected, such as fixed rate mortgages when interest rates fall.",What factors contribute to the risk of the Bank incurring a financial loss?,"its customers and counterparties repay or request repayment earlier than expected, such as fixed rate mortgages when interest rates fall"
1935,"Due to timing of the 2017 year end process, the actual short-term incentive figures for all other employees had not been finalized by the date of this report. Therefore, the 2017 short-term incentive figures represent target figures multiplied by the 2017 Corporate Bonus Modifier score approved by the Committee in early February.",What is the consequence of the actual short-term incentive figures for all other employees not being finalized by the date of this report?,the 2017 short-term incentive figures represent target figures multiplied by the 2017 Corporate Bonus Modifier score approved by the Committee in early February
568,"Our performance during 2017 was disappointing, primarily due to the changes we made over the last 24 months in our Sales and Lettings business.",What caused 2017's performance to be disappointing?,the changes we made over the last 24 months in our Sales and Lettings business
145,"Interest costs reduced to £0.8m (2016: £1.0m), as a result of the group's reduced borrowing costs following the refinancing in November 2016.",What factor contributed to the reduction in interest costs to £0.8m from £1.0m in 2016?,the group's reduced borrowing costs following the refinancing in November 2016
1443,The inability to develop technology to meet technological changes resulting in lost sales.,What are lost sales owed to?,The inability to develop technology to meet technological changes
943,"More accessible data, cheaper technology, new competition regulation and shifting customer expectations are the key drivers of change and are creating new challenges and opportunities for incumbent banks. These drivers are enabling new challenger banks to compete more effectively, from a lower cost base, and we have to respond.",What factors lead to change and create new challenges and opportunities for incumbent banks?,"More accessible data, cheaper technology, new competition regulation and shifting customer expectations"
