candidate_key,example_key,source_row,id,context,question,gold_answer,beam_rank,prediction,sequence_score,relative_beam_weight,verbatim_in_context,token_f1_with_gold,automatic_relation,review_batch,acceptance_status,error_type,acceptance_basis,blind_verification_sample,blind_verification_result,screening_rationale
v5_0050_1115_beam5,v5_0050_1115,50,1115,"The bank's interest rate risk was also monitored and managed, and it was maintained at acceptable levels. Indeed, the positioning of the fixed income ALCO portfolio and the balance sheet hedges mitigated the adverse effect of the Euribor interest rates, to which the majority of the bank's loans are referenced.",What contributed to offsetting the adverse effect of the Euribor interest rates?,the positioning of the fixed income ALCO portfolio and the balance sheet hedges,5,the positioning of the fixed income ALCO portfolio,-0.9875323176383972,0.1241095514694264,True,0.761904761904762,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0053_1632_beam3,v5_0053_1632,53,1632,"Despite lower sales, profitability in Latin America remained in line with the previous year due to the savings made from the consolidation of the Brazilian sites that took place towards the end of 2016.",What explains the profitability in Latin America remaining in line with the previous year?,the savings made from the consolidation of the Brazilian sites that took place towards the end of 2016,3,the savings made,-2.8633410930633545,0.1463295533356361,True,0.2857142857142857,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits the causal or explanatory tail needed to complete the gold answer.
v5_0062_1257_beam3,v5_0062_1257,62,1257,"Having built a highly competitive digital offering in the UK, one of the most advanced and innovative markets globally, we can compete strongly in international markets and thereby diversify our business.",What does it entail for the company to have developed a highly competitive digital offering in the UK?,we can compete strongly in international markets and thereby diversify our business,3,we can compete strongly in international markets,-0.5540404915809631,0.1752307115661311,True,0.7368421052631579,incomplete,1,accepted,incomplete,blind_verification_sample_user_confirmed,yes,user_confirmed_valid,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0064_661_beam4,v5_0064_661,64,661,"Said improvement, although insufficient due to the loss situation, in an overall analysis of financial year 2018, was possible due to the increase in turnover, to higher sales prices and to a better product mix, together with the progress in the results of the TRansforma | 360º Plan. All of which has allowed for the mitigation of the negative effects of the lower activity of the large diameter plant and the protectionist measures of the United States in the second part of the year, as well as the increase in the costs of raw materials, with an increase in the price of scrap metal and the devaluation of the US dollar of 12 and 3.6 percent for the year as a whole, respectively.","What was the consequence of the improvement derived from the increase in turnover, higher sales prices and a better product mix, together with the progress in the results of the TRansforma | 360º Plan?","the mitigation of the negative effects of the lower activity of the large diameter plant and the protectionist measures of the United States in the second part of the year, as well as the increase in the costs of raw materials, with an increase in the price of scrap metal and the devaluation of the US dollar of 12 and 3.6 percent for the year as a whole, respectively",4,the mitigation of the negative effects of the lower activity of the large diameter plant and the protectionist measures of the United States in the second part of the year,-0.2066971659660339,0.1921784900623656,True,0.6060606060606061,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0079_1756_beam4,v5_0079_1756,79,1756,"The key strengths of our operating business are our people, our PRISM operating platform, our brand and the strength of our relationships with Universities. We have continued to build on these throughout 2017, resulting in a 12% increase in EPRA earnings to £70.5 million (2016: £62.7 million). This growth has again been driven by high occupancy, rental growth and the impact of portfolio movements, as well as further operational efficiencies and ongoing cost discipline.","What was the result of high occupancy, rental growth, portfolio movements, further operational efficiencies, and ongoing cost discipline?",a 12% increase in EPRA earnings to £70.5 million (2016: £62.7 million),4,EPRA earnings to £70.5 million (2016: £62.7 million),-0.3184558749198913,0.1930249589717548,True,0.8,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,"Omits a meaningful leading causal or effect component, changing the answer."
v5_0081_1391_beam3,v5_0081_1391,81,1391,"The main variance in revenues (from continuing operations) was in the Group's publishing division, which saw a decrease of 49 per cent or £2.04m year on year. This was predominantly due to the remaining Macclesfield publishing unit withdrawing from the vast majority of its contract publishing titles and owned titles.",What was the main consequence of the remaining Macclesfield publishing unit withdrawing from the vast majority of its contract publishing titles and owned titles?,"The main variance in revenues (from continuing operations) was in the Group's publishing division, which saw a decrease of 49 per cent or £2.04m year on year",3,The main variance in revenues (from continuing operations) was in the Group's publishing division,-0.2972983419895172,0.2113682496378353,True,0.6341463414634146,incomplete,1,accepted,incomplete,blind_verification_sample_user_confirmed,yes,user_confirmed_valid,Omits the causal or explanatory tail needed to complete the gold answer.
v5_0092_1338_beam5,v5_0092_1338,92,1338,The tax currently payable is based on taxable profit for the year. Taxable profit differs from net profit as reported in the Income Statement because it excludes items of income or expense that are taxable or deductible in other years and it further excludes items that are never taxable or deductible. The Group's liability for current tax is calculated using tax rates in the respective jurisdictions that have been enacted or substantively enacted by the Statement of Financial Position date.,"What is the reason for taxable profit differing from net profit, as reported in the Income Statement?",it excludes items of income or expense that are taxable or deductible in other years and it further excludes items that are never taxable or deductible,5,it excludes items of income or expense that are taxable or deductible in other years,-0.5429936647415161,0.1628784236105728,True,0.7317073170731707,incomplete,1,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0115_1558_beam5,v5_0115_1558,115,1558,"Throughout the Strategic Report, and consistent with prior years, underlying and other alternative performance measures are used to describe the Group's performance. These are not recognised under IFRS or other generally accepted accounting principles (GAAP). The Executive Board of the Group manages and assesses the performance of the business on these measures and believes they are more representative of ongoing trading, facilitate meaningful year on year comparisons and hence provide more useful information to shareholders.",Why does the executive group believe that these measures offer more valuable information to shareholders?,"The Executive Board of the Group manages and assesses the performance of the business on these measures and believes they are more representative of ongoing trading, facilitate meaningful year on year comparisons",5,The Executive Board of the Group manages and assesses the performance of the business on these measures,-0.3430901765823364,0.173814796678055,True,0.6938775510204082,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0127_447_beam2,v5_0127_447,127,447,"The Company has discontinued its membership of the Association of Investment Companies (AIC) and, therefore, no longer applies the principles of the AIC Code of Corporate Governance. This Statement of Corporate Governance supports the Directors' Report.",What are the consequences of the Company discontinuing its membership in the Association of Investment Companies (AIC)?,no longer applies the principles of the AIC Code of Corporate Governance,2,no longer applies the principles of the AIC Code of Corporate Governance. This Statement of Corporate Governance supports the Directors' Report,-0.2310152351856231,0.2136736868903987,True,0.7272727272727273,overextended,2,accepted,overextended,screening_method_accepted_after_50_of_50_audit,no,,"Adds a separate sentence, clause, or downstream effect beyond the complete gold answer."
v5_0129_1609_beam3,v5_0129_1609,129,1609,"In 2018, we launched an engagement survey to check in with employees in order to detect our strengths and opportunities as an organisation. Our main objective is to continue improving and developing areas that contribute to talent retention and attraction. As a result, we set priorities and identified actions to be implemented in 2019 and metrics to quantify the engagement-level progress in the final quarter of 2019.",What specific strategic deliverables were implemented to realize the primary objective of enhancing talent retention?,we set priorities and identified actions to be implemented in 2019 and metrics to quantify the engagement-level progress in the final quarter of 2019,3,we set priorities and identified actions to be implemented in 2019,-0.4884169101715088,0.2233796684309605,True,0.6285714285714286,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0133_1189_beam3,v5_0133_1189,133,1189,"This complete and timely view of risk is obtained as a result of the integration of several programs, such as risk and control assessment, scenarios, events and metrics with a common set of taxonomies, and methodological standards. The result of this integration is a more precise risk profile and a significant improvement in efficiency by avoiding redundant efforts and duplicities.",What allows a complete and timely view of risk and therefore a more precise risk profile and significant improvement in efficiency by avoiding redundant efforts and duplicities?,"the integration of several programs, such as risk and control assessment, scenarios, events and metrics with a common set of taxonomies, and methodological standards",3,"the integration of several programs, such as risk and control assessment, scenarios, events and metrics with a common set of taxonomies",-0.3768529593944549,0.2120037223577973,True,0.888888888888889,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0141_436_beam2,v5_0141_436,141,436,A small portion of the Group's cash is restricted in overseas jurisdictions primarily due to legal or regulatory requirements. Such cash does not form part of our liquidity headroom calculation.,What causes a small portion of the Group's cash to be restricted in overseas jurisdictions?,legal or regulatory requirements,2,legal or regulatory requirements. Such cash does not form part of our liquidity headroom calculation,-0.6806815266609192,0.239074645140866,True,0.3157894736842105,overextended,2,accepted,overextended,screening_method_accepted_after_50_of_50_audit,no,,"Adds a separate sentence, clause, or downstream effect beyond the complete gold answer."
v5_0142_1307_beam5,v5_0142_1307,142,1307,"• The largest increases were in Spain due to the acquisition of Banco Popular; SCF, because of higher releases and portfolio sales in 2017, although its cost of credit remained below the standards for this business; and Argentina due to higher provisions for individual customers and the impact of the peso's depreciation on dollar balances.",What caused the increases in Argentina?,higher provisions for individual customers and the impact of the peso's depreciation on dollar balances,5,higher provisions for individual customers,-1.684946894645691,0.0670970696946036,True,0.5,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0146_426_beam3,v5_0146_426,146,426,"The translation reserve comprises foreign exchange differences arising from the translation of the financial statements of foreign operations, as well as from the translation of liabilities that hedge the Group's net investment in a foreign subsidiary.",What accounts for the differences in foreign exchanges comprised in the translation reserve?,"the translation of the financial statements of foreign operations, as well as from the translation of liabilities that hedge the Group's net investment in a foreign subsidiary",3,"the translation of the financial statements of foreign operations, as well as from the translation of liabilities",-0.3604097366333008,0.2096764367351112,True,0.7727272727272727,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits the causal or explanatory tail needed to complete the gold answer.
v5_0158_870_beam5,v5_0158_870,158,870,"Owing to the magnitude of the loss and the fact that the asset has been disposed of, we believe it is more instructive for the readers to show the loss this year, and the mark-to-market revaluation last year, as a separate reported item.",What led to the decision that it would be more instructive for readers to see this year's loss and last year's mark-to-market revaluation as separate reported items?,the magnitude of the loss and the fact that the asset has been disposed of,5,the magnitude of the loss,-1.5209311246871948,0.0809290536113279,True,0.5,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0159_1962_beam1,v5_0159_1962,159,1962,"On the other hand, competition is much stiffer as a result of the entry of the so-called fintechs in providing some financial services. These companies enjoy some advantages, particularly in terms of costs (they do not have branches and do not have to renew outdated technology), and in the products and markets where they operate, as they focus on the most profitable ones and do not provide the universal service that we do. We need to end asymmetric regulations, as banks, on the one hand, and digital platforms and start-ups, on the other, are not competing on a level playing field, whether in terms of capital requirements, compliance or use of data. We are not an IT company, but it is our duty to use the best technology and look for the best possible solutions for the real financial challenges of our customers, providing them exactly with what they need.",What is the implication of other companies focusing on the most profitable products and markets and not providing the universal service that they do?,"These companies enjoy some advantages, particularly in terms of costs (they do not have branches and do not have to renew outdated technology), and in the products and markets where they operate",1,"These companies enjoy some advantages, particularly in terms of costs (they do not have branches and do not have to renew outdated technology)",-0.1750224232673645,0.2603946304597917,True,0.8,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0160_756_beam3,v5_0160_756,160,756,"B's product offering and advanced functionality has resulted in a market-leading customer experience and, at September 2017, B had a Net Promoter Score (NPS) of over 40. As a result, since its launch in May 2016, B has over 100,000 accounts and deposit balances of c.£1bn.",What was the effect of B's product offering and advanced functionality?,"a market-leading customer experience and, at September 2017, B had a Net Promoter Score (NPS) of over 40",3,B had a Net Promoter Score (NPS) of over 40,-0.3802589476108551,0.2243072165198177,True,0.7142857142857143,incomplete,2,accepted,incomplete,blind_verification_sample_user_confirmed,yes,user_confirmed_valid,Omits a distinct leading component of the gold answer while retaining only the later component.
v5_0166_94_beam3,v5_0166_94,166,94,The strong growth in the valuation of the portfolio has seen the loan to value ratio fall to 52.9% (2016: 53.7%) despite the total level of net debt rising by £64.6 million in the year due to the cost of acquisitions and capital expenditure and the conversion of £19.3 million convertible bonds in the year.,What caused the loan-to-value ratio to decrease to 52.9% despite a £64.6 million increase in net debt during the year?,the cost of acquisitions and capital expenditure and the conversion of £19.3 million convertible bonds in the year,3,the conversion of £19.3 million convertible bonds in the year,-0.6972284317016602,0.1985147157663485,True,0.7142857142857143,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct leading component of the gold answer while retaining only the later component.
v5_0169_916_beam2,v5_0169_916,169,916,"In May 2017 we cancelled the legacy deferred shares in issue. The deferred shares were not listed, and effectively carried no rights. As a result, share capital reduced to £2.0m (2016: £16.3m) and a capital redemption reserve of £14.3m was created (2016: £nil).",What was the outcome of the deferred shares not being listed and effectively carrying no rights?,share capital reduced to £2.0m (2016: £16.3m) and a capital redemption reserve of £14.3m was created (2016: £nil),2,share capital reduced to £2.0m (2016: £16.3m),-0.3649550080299377,0.2205396636055073,True,0.56,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0177_1508_beam5,v5_0177_1508,177,1508,HSBC Holdings is also subject to contingent liquidity risk by virtue of credit-related commitments and guarantees and similar contracts issued relating to its subsidiaries. Such commitments and guarantees are only issued after due consideration of HSBC Holdings' ability to finance the commitments,What causes HSBC Holdings is also subject to contingent liquidity risk?,credit-related commitments and guarantees and similar contracts issued relating to its subsidiaries,5,credit-related commitments and guarantees,-1.520885705947876,0.0818756951162112,True,0.5,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0184_509_beam5,v5_0184_509,184,509,"HL Funds consist of ten Multi-Manager funds, on which the management fee is 75bps per annum, and two Select equity funds, on which the management fee is 60bps. Net revenue from these funds has grown strongly this year due to investment outperformance, rising markets, and the successful launch of the new fund.",What factors explain the strong growth of net revenue from these funds this year?,"investment outperformance, rising markets, and the successful launch of the new fund",5,"investment outperformance, rising markets",-1.285980463027954,0.0931493631097224,True,0.375,incomplete,2,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0207_986_beam3,v5_0207_986,207,986,"As a consequence of managing the estate to reduce square footage, eliminate store catchment overlap and improve the quality of our store base on realistic rental deals, the operating lease liabilities have reduced significantly to £531.9m (2016: £599.3m).",What factors led to the significant reduction in operating lease liabilities to £531.9m in 2017 from £599.3m in 2016?,"managing the estate to reduce square footage, eliminate store catchment overlap and improve the quality of our store base on realistic rental deals",3,"managing the estate to reduce square footage, eliminate store catchment overlap",-0.6585093140602112,0.2000047146358652,True,0.6470588235294118,incomplete,3,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0211_1628_beam1,v5_0211_1628,211,1628,"Finance costs decreased from $30.5 million in 2016 to $26.1 million in 2017, principally due to the reduction of interest resulting from the repayment of Scotiabank medium term loan in H1 2016 and from lower average short-term borrowings.",What is the cause finance costs decreased from $30.5 million in 2016 to $26.1 million in 2017,the reduction of interest resulting from the repayment of Scotiabank medium term loan in H1 2016 and from lower average short-term borrowings,1,the reduction of interest resulting from the repayment of Scotiabank medium term loan in H1 2016,-0.3608245849609375,0.2678659421763533,True,0.8421052631578948,incomplete,3,accepted,incomplete,blind_verification_sample_user_confirmed,yes,user_confirmed_valid,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0212_788_beam3,v5_0212_788,212,788,"As a result of the exceptional costs charged in the year, the group reported a statutory loss before tax of £123.0m (2016: profit of £343.9m) and a basic loss per share of 90.7p (2016: earnings per share of 181.8p).",What was the effect of the exceptional costs charged in the year?,the group reported a statutory loss before tax of £123.0m (2016: profit of £343.9m) and a basic loss per share of 90.7p (2016: earnings per share of 181.8p),3,the group reported a statutory loss before tax of £123.0m (2016: profit of £343.9m),-0.3002062141895294,0.2350793256343976,True,0.6666666666666666,incomplete,3,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0213_1684_beam4,v5_0213_1684,213,1684,Net assets as at 31 July 2017 have reduced to £29.89 million (2016: £35.86 million) as a result of the losses incurred during the year of £6.37 million and the corresponding reduction in cash and short-term deposits.,What are the reasons behind the reduction in net assets to £29.89 million as of 31 July 2017?,the losses incurred during the year of £6.37 million and the corresponding reduction in cash and short-term deposits,4,the losses incurred during the year of £6.37 million,-0.4377150535583496,0.1777598834018251,True,0.6666666666666666,incomplete,3,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0245_548_beam4,v5_0245_548,245,548,"Public sector sales were substantially lower than in 2016, particularly in England, reflecting a weak opening order book and lower than anticipated order conversion in the first half of the year, due to a combination of the delayed roll out of the next phase of the ESFA Priority Schools",What factors caused public sector sales to reflect a weak opening order book and lower than anticipated order conversion in the first half of the year?,a combination of the delayed roll out of the next phase of the ESFA Priority Schools,4,a combination of the delayed roll out,-1.3593858480453491,0.1697643841428829,True,0.6086956521739131,incomplete,3,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,"Omits a complete, meaningful portion of the gold answer while remaining usable."
v5_0246_1488_beam5,v5_0246_1488,246,1488,"Given the Group is currently trading below our target range for the net debt to underlying EBITDA ratio, the Board considered the Group's capital structure and capital allocation priorities with a view to a return of surplus cash to shareholders.",What was the reason the Group is currently trading below the target range for the net debt to underlying EBITDA ratio?,the Board considered the Group's capital structure and capital allocation priorities with a view to a return of surplus cash to shareholders,5,the Board considered the Group's capital structure,-1.0466251373291016,0.1577957467756111,True,0.4827586206896552,incomplete,3,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0249_1776_beam1,v5_0249_1776,249,1776,"Major product programme delivery Since last year, the level of risk for the major product programme delivery principal risk has increased. This is due to in-service issues that we have experienced with our Trent 1000 and Trent 900 engines (see page 24) and the resources required to mitigate the impact",What are the reasons behind the increased level of risk for the major product programme delivery principal risk since last year?,in-service issues that we have experienced with our Trent 1000 and Trent 900 engines (see page 24) and the resources required to mitigate the impact,1,in-service issues that we have experienced with our Trent 1000 and Trent 900 engines,-0.2677645683288574,0.2090276036768431,True,0.717948717948718,incomplete,3,accepted,incomplete,blind_verification_sample_user_confirmed,yes,user_confirmed_valid,"Omits a complete, meaningful portion of the gold answer while remaining usable."
v5_0252_199_beam2,v5_0252_199,252,199,There are a number of risks in developing drug candidates due to a long and complex development process. Any programme must undergo extensive research to get to preclinical or clinical stage. This process takes several years and is very costly.,What factor contributes to the presence of risks in developing drug candidates?,a long and complex development process,2,a long and complex development process. Any programme must undergo extensive research,-1.1196447610855105,0.1787831691989417,True,0.5555555555555556,overextended,3,accepted,overextended,blind_verification_sample_user_confirmed,yes,user_confirmed_valid,"Adds a separate sentence, clause, or downstream effect beyond the complete gold answer."
v5_0254_804_beam2,v5_0254_804,254,804,EBITDA growth resulted from the credit positive performances of Distribution and IT Solutions and a reduction in net indirect costs as a consequence of the adoption of IFRS 16 in 2018.,What prompted the EBITDA growth?,the credit positive performances of Distribution and IT Solutions and a reduction in net indirect costs as a consequence of the adoption of IFRS 16 in 2018,2,the credit positive performances of Distribution and IT Solutions,-0.7173094749450684,0.2416617569999427,True,0.5,incomplete,3,accepted,incomplete,blind_verification_sample_user_confirmed,yes,user_confirmed_valid,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0261_267_beam3,v5_0261_267,261,267,Head office costs increased from £7.3 million in 2016 to £9.1 million in 2017. This was largely due to the effect of headcount increases in 2017 and staff bonuses associated with improved operating performance.,What caused head office costs to increase from £7.3 million in 2016 to £9.1 million in 2017?,the effect of headcount increases in 2017 and staff bonuses associated with improved operating performance,3,the effect of headcount increases in 2017,-0.7103540897369385,0.202243838730637,True,0.6363636363636364,incomplete,3,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,Omits a distinct coordinated component of the gold answer while remaining a usable span.
v5_0264_1744_beam5,v5_0264_1744,264,1744,"Revenue was up by 7% at US$11,520 million compared with US$10,738 million in FY2016. The table on the right indicates the movement by segment. The increase was primarily driven by improved zinc and aluminium metal prices, improved volumes on account of our aluminium ramp up",What were the factors that contributed to the increase in revenue?,"improved zinc and aluminium metal prices, improved volumes on account of our aluminium ramp up",5,improved zinc and aluminium metal prices,-0.6708624958992004,0.1534266358938452,True,0.4761904761904761,incomplete,3,accepted,incomplete,screening_method_accepted_after_50_of_50_audit,no,,"Omits a complete, meaningful portion of the gold answer while remaining usable."
