audit_id,c1_candidate_id,m1_pair_id,id,context,question,chosen,m1_rejected,m1_error_type,target_causal_role,c1_rejected,donor_id,donor_context,donor_question,donor_causal_role,causal_role_match,selection_tier,m1_rejected_tokens,c1_rejected_tokens,absolute_token_difference,relative_token_difference,candidate_content_coverage_in_context,rejected_length_bin,audit_label,notes
C1X011,c1_v7_candidate_0067,m1_v6_screened_0067,433,"Average production reached 715 Kboe/d in 2018, which represents a 3% increase (+20.7 Kboe/d; +6.2 Kboe/d in liquids and 14.5 Kboe/d in gas) vs. 2017. This increase is primarily due to production in Libya and the launch of organic development projects in 2017 (Reggane in Algeria, Kinabalu in Malaysia, TROC and Juniper in Trinidad and Tobago, Shaw and Cayley in the United Kingdom and Sagari in Peru) and in 2018 (launch of the gas project Bunga Pakma in Malaysia and the connection of new wells in Marcellus in the United States), as well as the acquisition of the Visund field in Norway. These positive effects were offset by lower production in Venezuela and by the sale of the SK field in Russia in 2017. and MidContinent in the US.","What led to production reaching 715 Kboe/d in 2018, which represents a 3% increase (+20.7 Kboe/d; +6.2 Kboe/d in liquids and 14.5 Kboe/d in gas) vs. 2017?","production in Libya and the launch of organic development projects in 2017 (Reggane in Algeria, Kinabalu in Malaysia, TROC and Juniper in Trinidad and Tobago, Shaw and Cayley in the United Kingdom and Sagari in Peru) and in 2018 (launch of the gas project Bunga Pakma in Malaysia and the connection of new wells in Marcellus in the United States), as well as the acquisition of the Visund field in Norway","production in Libya and the launch of organic development projects in 2017 (Reggane in Algeria, Kinabalu in Malaysia, TROC and Juniper in Trinidad and Tobago, Shaw and Cayley in the United Kingdom and Sagari in Peru)",incomplete,cause,the larger asset base following the commissioning of San Julián; capitalised development works; construction of the Pyrites plant and the second DLP line; purchase of additional in-mine equipment; and the construction of leaching pads at Herradura and Noche Buena,1036,The US$268.4 million increase was mainly due to: the larger asset base following the commissioning of San Julián; capitalised development works; construction of the Pyrites plant and the second DLP line; purchase of additional in-mine equipment; and the construction of leaching pads at Herradura and Noche Buena.,What factors mainly explain the US$268.4 million increase?,cause,True,1,54,55,1,0.018518518518518517,0.04,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X012,c1_v7_candidate_0093,m1_v6_screened_0093,1316,"Textile Printing using digital inkjet technology is growing fast due to rapid shifts in consumer expectations such as fast changing fashion seasons, and the requirement to reduce waste and pollution. This drives the need for new, digital printing processes which are capable of delivering short print runs quickly, economically and in a more environmentally friendly way.",What factors drive the fast growth in textile printing using digital inkjet technology?,"rapid shifts in consumer expectations such as fast changing fashion seasons, and the requirement to reduce waste and pollution",rapid shifts in consumer expectations such as fast changing fashion seasons,incomplete,cause,their size or incidence to enable a better understanding of performance,266,Presentation of non-trading and exceptional items. The Group discloses non-trading and exceptional items separately due to their size or incidence to enable a better understanding of performance. This is a key judgemental area which has been subject to recent pronouncements on quantum and presentation from the Financial Reporting Council.,What is the reason the Group discloses non-trading and exceptional items separately?,cause,True,1,11,11,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X013,c1_v7_candidate_0027,m1_v6_screened_0027,756,"B's product offering and advanced functionality has resulted in a market-leading customer experience and, at September 2017, B had a Net Promoter Score (NPS) of over 40. As a result, since its launch in May 2016, B has over 100,000 accounts and deposit balances of c.£1bn.",What was the effect of B's product offering and advanced functionality?,"a market-leading customer experience and, at September 2017, B had a Net Promoter Score (NPS) of over 40",B had a Net Promoter Score (NPS) of over 40,incomplete,effect,revenue includes the Directors' best estimate of differences between estimated sales and billed sales,417,"Due to the inherent nature of the industry and its reliance upon estimated meter readings, revenue includes the Directors' best estimate of differences between estimated sales and billed sales.",What was the impact of the industry's nature and its reliance on estimated meter readings?,effect,True,1,16,16,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X014,c1_v7_candidate_0168,m1_v6_screened_0168,1587,"3 The 2015 LTIP award was assessed by the Remuneration Committee and a 0% vesting outcome was determined. Therefore, all awards under the 2015 grant lapsed in full.",Why did all awards under the 2015 grant lapsed in full?,The 2015 LTIP award was assessed by the Remuneration Committee and a 0% vesting outcome was determined,The 2015 LTIP award was assessed by the Remuneration Committee,incomplete,cause,"Despite the continued uncertain economic environment, the Board is confident in the outlook for the Group",612,"An interim dividend of 4.90p per ordinary share was paid in May 2017. The Group has continued to strengthen and deliver very positive results, with very strong cash generation and a balance sheet that is growing in resilience. Despite the continued uncertain economic environment, the Board is confident in the outlook for the Group and therefore proposes a full-year dividend of 14.70p, a 1.4% increase on the full-year dividend for 2016.","Why does the Board propose a full-year dividend of 14.70p, which is a 1.4% increase from the full-year dividend for 2016?",cause,True,1,17,17,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X015,c1_v7_candidate_0210,m1_v6_screened_0210,573,The annual bonus targets will have a 90% weighting based on performance under an agreed balanced scorecard which includes an element of risk appraisal. Within the scorecard at least 50% of the bonus will be based on financial performance. 10% of bonus will be based on personal performance targets.,What determines the weighting of the annual bonus targets?,performance under an agreed balanced scorecard which includes an element of risk appraisal,performance under an agreed balanced scorecard,incomplete,other,it is an externally managed investment company,157,"The Board considers provisions a to c above are not relevant to the Company as it is an externally managed investment company. In particular, all of the Company's day-to-day management and administrative functions are outsourced to third parties.",What drives the Board to consider provisions a to c irrelevant to the Company?,other,True,1,7,7,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X016,c1_v7_candidate_0073,m1_v6_screened_0073,585,"As a result of these very high standards and relentless focus, we have a strong performance in health and safety.",What explains their strong performance in health and safety?,these very high standards and relentless focus,these very high standards,incomplete,cause,the external evaluation results,1524,"Activities in the year ended 31 March 2017. During the year the Committee undertook the following activities: • reviewed financial year reporting matters and disclosures • reviewed the structure, size and composition of the Board and Committees in light of the external evaluation results.","What factor facilitated the review of the structure, size and composition of the Board and Committees?",cause,True,1,4,4,0,0.0,0.0,very_short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X017,c1_v7_candidate_0132,m1_v6_screened_0132,1702,"In 2018 the company promoted its relationship with universities and research centers as a source of innovation and technology transfer, giving rise to seminars such as Indradays and Chairs, as well as specific frameworks and agreements.",What were the effects of the company promoting its relationship with universities and research centers as a source of innovation and technology transfer?,"seminars such as Indradays and Chairs, as well as specific frameworks and agreements",seminars such as Indradays and Chairs,incomplete,effect,simplifying the arrangements in place at Volution,1950,"Taking into account this feedback from shareholders, the Committee has increased the weighting of the EPS measure and reduced the weighting of the adjusted operating profit measure, whilst keeping the total percentage of the bonus based on profit measures the same as last year (85%). The Committee has also determined that the Group employee retention measure is no longer as relevant to measuring the success of the business and it will therefore not be used as a measure for the 2017/18 ABP. Instead, there will be an increased weighting on working capital management, which remains a focus for management. The Committee is aware of the current trend of a ""simplification"" of incentive arrangements in the UK listed environment. These changes reduce the number of performance measures used (from four to three), therefore simplifying the arrangements in place at Volution. The performance measures and weightings for the year ended 31 July 2018 will therefore become adjusted operating profit (35%), adjusted EPS (50%) and working capital management (15%). The targets set for the year ended 31 July 2018 will be disclosed in the next Annual Report on Remuneration, unless they remain commercially sensitive.",What is the outcome of the changes reducing the number of performance measures used (from four to three)?,effect,True,1,10,10,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X018,c1_v7_candidate_0153,m1_v6_screened_0153,1678,"Amounts receivable under the Group's defense contracts are substantial. Therefore, the timing of, or failure to receive, awards and associated cash advances and milestone payments will materially affect the Group's profits and cash flows for the periods involved, thereby reducing the cash available to meet the Group's allocation requirements.",What are the consequences of amounts receivable under the Group's defense contracts being substantial?,"the timing of, or failure to receive, awards and associated cash advances and milestone payments will materially affect the Group's profits and cash flows for the periods involved","the timing of, or failure to receive, awards and associated cash advances and milestone payments will materially affect the Group's profits and cash flows for the periods involved, thereby reducing the cash available to meet the Group's allocation requirements",overextended,effect,"the oral products that are currently in the US market have so far not achieved a significant share leaving the market open for new entrants, such as Allergy Therapeutics, with the right products, manufacturing capability and commercial approach",1395,"Given the widespread adoption of subcutaneous immunotherapy (SCIT) treatments in the US, the oral products that are currently in the US market have so far not achieved a significant share leaving the market open for new entrants, such as Allergy Therapeutics, with the right products, manufacturing capability and commercial approach.",What are the consequences of the widespread adoption of subcutaneous immunotherapy (SCIT) treatments in the US?,effect,True,1,44,44,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X019,c1_v7_candidate_0193,m1_v6_screened_0193,1250,"We see significant and growing opportunities for our software to enhance the performance of businesses in construction and other sectors, by improving the timeliness, cost-efficiency and risk profiles of customers' projects. Thanks to the dedication and skills of our talented colleagues, Elecosoft is increasingly seen as a market-leading provider of construction software and training, across all phases of a construction project and beyond, in the on-going lifecycle of buildings with an excellent reputation for developing and delivering market leading software to our customers.",What is the impact of the dedication and skills of the colleagues?,"Elecosoft is increasingly seen as a market-leading provider of construction software and training, across all phases of a construction project and beyond, in the on-going lifecycle of buildings with an excellent reputation for developing and delivering market leading software to our customers",Elecosoft is increasingly seen as a market-leading provider of construction software,incomplete,effect,the Committee determined that 100% of this award should vest,1458,Based on Angus's achievement the Committee determined that 100% of this award should vest.,What is the implication of Angus's achievement?,effect,True,1,14,14,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X020,c1_v7_candidate_0079,m1_v6_screened_0079,158,The Company is not within the scope of the Modern Slavery Act 2015 because it has insufficient turnover and is therefore not obliged to make a human trafficking statement.,What does the fact that the Company is not within the scope of the Modern Slavery Act 2015 owe to?,it has insufficient turnover,it has insufficient turnover and is therefore not obliged to make a human trafficking statement,overextended,cause,The Nationwide Foundation increases the availability of decent affordable homes for people in housing need,1560,"The Nationwide Foundation increases the availability of decent affordable homes for people in housing need, thus alleviating social and economic disadvantage in the UK. In 2016/17 the Nationwide Foundation received a donation of £2.8 million from Nationwide Building Society and funded 26 charitable causes.",Why does it alleviate social and economic disadvantage in the UK?,cause,True,1,15,15,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X021,c1_v7_candidate_0166,m1_v6_screened_0166,1285,"In light of the growing focus on non-audit fees the Committee has enhanced its scrutiny to ensure that it is comfortable, on an ongoing basis that the nature of the non-audit work commissioned does not impinge on audit independence.",What have been the implications of the growing focus on non-audit fees?,"the Committee has enhanced its scrutiny to ensure that it is comfortable, on an ongoing basis that the nature of the non-audit work commissioned does not impinge on audit independence","the Committee has enhanced its scrutiny to ensure that it is comfortable, on an ongoing basis",incomplete,other,Brand reputation and the expressed demand and encouragement from our clients in 2017,1157,"These testimonials and commendations are of direct value to our shareholders because they signal the continued and growing preference for our brand. Brand reputation and the expressed demand and encouragement from our clients in 2017 has led us to open new offices in Portishead, Birmingham and Dumfries.","What prompted them to open new offices in Portishead, Birmingham and Dumfries?",other,True,1,17,17,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X022,c1_v7_candidate_0190,m1_v6_screened_0190,1600,"Cashflow Net cash generated from operating activities was £0.7m (2016: £4.5m). This decrease was largely due to the reduction in our earnings before depreciation and amortisation plus the funding of increases in our inventories, reduction in trade and other payables and our investment in engineering resources.",What were the reasons behind the decrease in net cash generated from operating activities to £0.7m from £4.5m in 2016?,"the reduction in our earnings before depreciation and amortisation plus the funding of increases in our inventories, reduction in trade and other payables and our investment in engineering resources","our earnings before depreciation and amortisation plus the funding of increases in our inventories, reduction in trade and other payables and our investment in engineering resources",incomplete,cause,their high presence in different committees and the fact that proprietary directors that represent a single shareholder are prohibited from participating in decisions for proposing and appointing independent directors,1745,"Similarly, the Articles of Association and the Board Regulations stipulate the maximum number of proprietary directors that can represent a single shareholder (without prejudice to the right of representation), which reinforces the role of independent directors, due to their high presence in different committees and the fact that proprietary directors that represent a single shareholder are prohibited from participating in decisions for proposing and appointing independent directors.",What factors contribute to the strengthening of the position of independent directors?,cause,True,1,30,30,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X023,c1_v7_candidate_0234,m1_v6_screened_0234,191,The Committee has considered it appropriate not to disclose the actual targets for these awards as they were set at a time when the Company was a private company and as such the Board considers the underlying targets to be commercially sensitive.,Why has the Committee considered it appropriate not to disclose the actual targets for these awards?,they were set at a time when the Company was a private company and as such the Board considers the underlying targets to be commercially sensitive,they were set at a time when the Company was a private company,incomplete,cause,the December meeting being rescheduled to January 2018,763,"The Audit Committee comprises four independent Non-Executive Directors. It normally holds four meetings per year, organised around the Company's reporting schedule. In 2017 three Audit Committee meetings were held due to the December meeting being rescheduled to January 2018.",What was the reason behind holding three Audit Committee meetings in 2017?,cause,True,1,13,13,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X024,c1_v7_candidate_0063,m1_v6_screened_0063,1431,"Based on their assessment and considerations, the Directors have concluded that they should continue to prepare the financial statements of the Company on a going concern basis and the financial statements have been prepared accordingly.",What happened as a result of their assessment and considerations?,the Directors have concluded that they should continue to prepare the financial statements of the Company on a going concern basis and the financial statements have been prepared accordingly,the Directors have concluded that they should continue to prepare the financial statements of the Company on a going concern basis,incomplete,effect,Percentage changes are calculated from the base data and may differ slightly from changes calculated from the data in the tables,1961,6. Percentage changes are calculated from the base data and may differ slightly from changes calculated from the data in the tables because of rounding.,What is the impact of rounding?,effect,True,1,21,21,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X025,c1_v7_candidate_0053,m1_v6_screened_0053,1291,"Following its annual review, the Committee recommended to the Board not to establish an internal audit function, due to the existence of current controls and review systems, and as the Company was neither of sufficient size nor complexity to warrant it.","Following its annual review, why did the Committee recommend to the Board not to establish an internal audit function?","the existence of current controls and review systems, and as the Company was neither of sufficient size nor complexity to warrant it",the existence of current controls and review systems,incomplete,cause,the limited level of exploration completed to date,1536,"Two visits were made to Rio Negro, to review geology and drill core at the Calcatreu project. There appears to be good potential to increase the resource at the project due to the limited level of exploration completed to date.",What accounts for the apparent good potential to increase the resource at the Calcatreu project?,cause,True,1,8,8,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X026,c1_v7_candidate_0167,m1_v6_screened_0167,1197,"The Company became a member of the AIC with effect from 27 March 2013 and has therefore put in place arrangements to comply with the AIC Code and, in accordance with the AIC Code, complies with the UK Code.",What have been the implications of the Company becoming a member of the AIC with effect from 27 March 2013?,"put in place arrangements to comply with the AIC Code and, in accordance with the AIC Code, complies with the UK Code",put in place arrangements to comply with the AIC Code,incomplete,other,it is uncertain what the final requirements and timing will be,1779,"As the proposals remain in draft, it is uncertain what the final requirements and timing will be. Under the BoE's statement of policy on MREL, the BoE will set MREL for UK G-SIBs as necessary to implement the TLAC standard and institution or group-specific MREL requirements will depend on the preferred resolution strategy for that institution or group.",What does the proposal being in draft phase translates to?,other,True,1,11,11,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X027,c1_v7_candidate_0146,m1_v6_screened_0146,1062,"Our associate company, Troy Homes Limited, is in its second operating year and, as expected, further losses were incurred during the start-up phase. The Group has therefore made a provision of £238,000 and the carrying value is now £1.1 million.","Why has the Group made a provision of £238,000 and the carrying value is now £1.1 million?","Our associate company, Troy Homes Limited, is in its second operating year and, as expected, further losses were incurred during the start-up phase","Our associate company, Troy Homes Limited, is in its second operating year",incomplete,cause,"a variety of factors, some of which are outside STV's control",1412,"Dependence on advertising STV's sales, expenses and operating results could vary from period to period as a result of a variety of factors, some of which are outside STV's control. These factors include general economic conditions; conditions specific to general advertising markets including the commercial television market; trends in sales","What factor causes STV's sales, expenses, and operating results to vary from period to period?",cause,True,1,14,14,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X028,c1_v7_candidate_0196,m1_v6_screened_0196,414,"Many of these factors are outside the Group's control. The Group accepts no liability to publicly revise or update these forward-looking statements or adjust them for future events or developments, whether as a result of new information, future events or otherwise, except to the extent legally required.",For what reasons does the Group accept no liability to publicly revise or adjust forward-looking statements for future scenarios?,"new information, future events or otherwise, except to the extent legally required","future events or otherwise, except to the extent legally required",incomplete,cause,Non-financial risks cannot be assessed readily in financial terms,1561,"Non-financial risks cannot be assessed readily in financial terms and, therefore, cannot be reflected reliably in the financial statements.",What is the reason non-financial risks cannot be reliably reflected in the financial statements?,cause,True,1,11,11,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X029,c1_v7_candidate_0092,m1_v6_screened_0092,361,Prior year adjustments totalling £4.4m arise primarily from adjustments to amounts provided following the filing of tax returns and as a result of the expiration of statutes of limitations and closure of tax authority audits.,What factors primarily explain why the prior year adjustments totaling £4.4 million arose?,adjustments to amounts provided following the filing of tax returns and as a result of the expiration of statutes of limitations and closure of tax authority audits,adjustments to amounts provided following the filing of tax returns and as a result of the expiration of statutes of limitations,incomplete,cause,the release of deferred income in relation to license payments and maintenance agreements and accrued income in relation to work in progress,719,These are amounts invoiced in year. This differs from revenue as defined by IFRS due to the release of deferred income in relation to license payments and maintenance agreements and accrued income in relation to work in progress.,What causes the amounts invoiced to differ from revenue as defined by IFRS?,cause,True,1,22,22,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
